2019-08-09 10:30:15,028 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([10, 19]), ' v ', -0.76202035, ' a ', 1, ' p ', 0.53086513, ' total_step ', 2]
2019-08-09 10:30:15,078 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 9, 19]), ' v ', -0.81034327, ' a ', 2, ' p ', 0.51268184, ' total_step ', 3]
2019-08-09 10:30:15,108 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 9, 19]), ' v ', -0.81034327, ' a ', 1, ' p ', 0.51268184, ' total_step ', 4]
2019-08-09 10:30:15,152 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 19]), ' v ', -0.80550224, ' a ', 2, ' p ', 0.49725497, ' total_step ', 5]
2019-08-09 10:30:15,191 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 18]), ' v ', -0.79851574, ' a ', 0, ' p ', 0.50259924, ' total_step ', 6]
2019-08-09 10:30:15,244 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 18]), ' v ', -0.79851574, ' a ', 2, ' p ', 0.50259924, ' total_step ', 7]
2019-08-09 10:30:15,270 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 17]), ' v ', -0.7656018, ' a ', 2, ' p ', 0.50907415, ' total_step ', 8]
2019-08-09 10:30:15,295 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 17]), ' v ', -0.7656018, ' a ', 2, ' p ', 0.50907415, ' total_step ', 9]
2019-08-09 10:30:15,320 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 17]), ' v ', -0.7656018, ' a ', 1, ' p ', 0.50907415, ' total_step ', 10]
2019-08-09 10:30:15,338 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 7, 17]), ' v ', -0.74916655, ' a ', 2, ' p ', 0.507403, ' total_step ', 11]
2019-08-09 10:30:15,364 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 7, 16]), ' v ', -0.7270834, ' a ', 2, ' p ', 0.5078854, ' total_step ', 12]
2019-08-09 10:30:15,386 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 7, 15]), ' v ', -0.69204885, ' a ', 2, ' p ', 0.5225577, ' total_step ', 13]
2019-08-09 10:30:15,400 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 7, 14]), ' v ', -0.6545856, ' a ', 0, ' p ', 0.5495448, ' total_step ', 14]
2019-08-09 10:30:15,435 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 14]), ' v ', -0.6540481, ' a ', 2, ' p ', 0.55320156, ' total_step ', 15]
2019-08-09 10:30:15,450 - DEBUG - MainThread - mainLogger_logger_MainThread_20190809.log - ['s ', array([ 8, 13]), ' v ', -0.66059077, ' a ', 2, ' p ', 0.57911605, ' total_step ', 16]
